time_s,Power_W,FuelTemp_C,Reactivity_dollars
0,10,551.406,0.190913138461539
50,37.9513869580452,554.935334550472,0.168108207520028
100,78.4105317337822,560.456197384231,0.132434939978813
150,122.658085601412,566.719499236666,0.0919643741630831
200,157.517362927634,571.770686867933,0.0593259310072026
250,180.923373822408,575.196159037865,0.03719211083226
300,195.722643650377,577.369637838954,0.0231480939636834
350,204.903937386279,578.719318136281,0.0144270828117219
400,210.58407762547,579.554254234602,0.00903211109949676
450,214.110913380705,580.072429794719,0.00568389978797216
500,216.313410049237,580.395843779599,0.00359414788566875
550,217.697104531499,580.59891392065,0.0022820023588751
600,218.571056415208,580.727114140873,0.00145363170512579
650,219.125505161986,580.808415317033,0.000928301028400579
700,219.478493698141,580.860160122679,0.00059394997653286
750,219.703829387548,580.893184759956,0.000380560012590028
800,219.847966955156,580.914305652877,0.000244086550641309
850,219.940303172088,580.927834277215,0.00015667082414929
900,219.999519143614,580.936509519322,0.000100615413612007
950,220.03752461334,580.942077028586,6.46407383692779e-05
1000,220.061930640335,580.945652160048,4.15398889176416e-05
