time_s,Power_W,FuelTemp_C,Reactivity_dollars
0,10,551.406,0.190913138461539
50,18.271496892525,552.422046877042,0.184347912486808
100,28.641126653378,553.820887013375,0.175309253144343
150,43.1888184701145,555.788957955758,0.1625924870551
200,62.2418615374337,558.391409662369,0.145776645258539
250,84.9857837937436,561.535583770227,0.125460443330839
300,109.432002990716,564.959738224605,0.103335137625628
350,133.101365151159,568.317232622582,0.0816405584387002
400,153.999721685011,571.313831259286,0.0622779210938451
450,171.1503640763,573.793600650615,0.0462547957960269
500,184.49584368061,575.734666854805,0.0337125218612589
550,194.509197667266,577.196914268386,0.024264153958122
600,201.845341199614,578.270987670366,0.0173239873607138
650,207.139234154188,579.047324033078,0.0123076600939574
700,210.923699663943,579.602863205236,0.00871802236617037
750,213.613803718721,579.997992924827,0.0061648764857343
800,215.519644093484,580.278025147971,0.004355437505418
850,216.867323451878,580.47608279761,0.00307568038467555
900,217.81935323748,580.616008908286,0.00217154243876826
950,218.491560654825,580.714812148904,0.00153312149938859
1000,218.966100805474,580.78456265359,0.0010824259306505
