time_s,Power_W,FuelTemp_C,Reactivity_dollars
0,10,551.406,0.190913138461539
50,44.6922628991081,555.789362024478,0.162589876149523
100,91.8723739404501,562.292325141256,0.120570729856498
150,136.721980168575,568.721537215262,0.0790281287629196
200,168.412055176767,573.349795116423,0.0491224623246502
250,188.447573262654,576.294248372579,0.0300967643617986
300,200.697468090883,578.0975601154,0.0184445961774149
350,208.140741719608,579.193346291568,0.0113641316544828
400,212.680478389104,579.861313657936,0.00704803482564132
450,215.469128821134,580.271335103193,0.00439866548706037
500,217.19526528907,580.52495455309,0.00275989365695612
550,218.271138942581,580.682935247085,0.00173909532652983
600,218.945591391262,580.781922458811,0.00109948565075881
650,219.370332809805,580.844236359407,0.000696841985370769
700,219.638753665388,580.883604953461,0.000442460300713073
750,219.80882956309,580.908544155652,0.000281314686556349
800,219.916799464211,580.924373903669,0.000179030160905576
850,219.985437776803,580.934436000928,0.000114013532466236
900,220.029115875262,580.940838512135,7.26434600492044e-05
950,220.056930238594,580.944915418289,4.63003741298725e-05
1000,220.0746514122,580.947512803816,2.9517267649209e-05
