time_s,Power_W,FuelTemp_C,Reactivity_dollars
0,10,551.406,0.190913138461539
50,41.4231374353888,555.374683605998,0.165269336699703
100,85.6338450113143,561.437882331037,0.126091744937914
150,130.511049215126,567.834582001342,0.0847592239913312
200,163.737429327735,572.671175425407,0.0535073895589063
250,185.270026024976,575.830176370911,0.0330953834495003
300,198.616766070726,577.793009396444,0.0204124623614382
350,206.795810130401,578.99635684773,0.0126369865223576
400,211.813633961386,579.734344476582,0.00786845107439152
450,214.909716425422,580.189414198883,0.00492800056106416
500,216.833277790707,580.471959921132,0.00310232050961066
550,218.03622936274,580.648554079762,0.00196125056153918
600,218.792765999212,580.759560133598,0.00124398067521329
650,219.270713570137,580.829661999425,0.000791014772943315
700,219.573724628129,580.874092334598,0.000503926453365831
750,219.766340102511,580.902329190527,0.000321472922750006
800,219.889021668706,580.920311020365,0.00020528263763967
850,219.967273069731,580.93177922474,0.0001311803939867
900,220.017236933692,580.939101102126,8.38698016474623e-05
950,220.049162808687,580.943779346896,5.364114313551e-05
1000,220.069573566471,580.946770100355,3.43162746288915e-05
